Current_connection,City,Region,Nationality,Gender,Exact_Age,Connection,Segment,Performance,Preference,TRIM_Index,Communication,Proposition,Sales_Experience,Opt_inout,Network_Satisfaction,Customer_Support,Billing_Payment
Mobily,AD DAMMAM,Eastern,Expat Arabs,Male,29,Prepaid,LV,5,5,150,8,8,10,8,8,8,8
Mobily,Other,Others,Expat Asians,Male,48,Prepaid,VLV,4,4,100,8,6,8,,7,7,9
Mobily,JEDDAH,Western,Expat Arabs,Male,50,Prepaid,VLV,5,5,150,10,10,9,10,10,10,10
Mobily,AR RIYADH,Central,Expat Arabs,Male,35,Prepaid,VLV,4,4,100,8,10,9,10,10,8,9
Mobily,JEDDAH,Western,Nationals,Male,38,Postpaid,VLV,5,4,125,6,1,5,5,8,10,10
Mobily,AR RIYADH,Central,Expat Arabs,Male,28,Prepaid,VLV,5,3,100,0,10,10,7,9,10,10
Mobily,AR RIYADH,Central,Expat Arabs,Male,32,Postpaid,VHV,3,4,75,8,9,9,9,7,9,8
Mobily,AR RIYADH,Central,Expat Arabs,Male,45,Postpaid,VHV,4,3,75,1,8,8,7,6,10,10
Mobily,AR RIYADH,Central,Nationals,Male,27,Postpaid,VHV,3,3,50,5,7,6,5,5,6,4
Mobily,JEDDAH,Western,Expat Arabs,Male,31,Postpaid,VLV,2,3,25,10,5,10,10,10,10,10
Mobily,AR RIYADH,Central,Nationals,Male,40,Postpaid,VHV,5,4,125,0,3,3,,5,9,9
Mobily,HAFAR AL BATIN,Eastern,Expat Arabs,Male,23,Prepaid,VLV,4,3,75,10,10,10,10,8,10,10
Mobily,AR RIYADH,Central,Nationals,Male,30,Postpaid,VHV,3,4,75,,,9,10,6,2,10
Mobily,JEDDAH,Western,Nationals,Male,40,Postpaid,VHV,3,1,0,7,7,5,5,5,5,5
Mobily,AL KHUBAR,Eastern,Expat Arabs,Male,40,Postpaid,LV,4,4,100,10,8,9,8,9,9,9
Mobily,AR RIYADH,Central,Expat Asians,Male,37,Prepaid,VLV,5,5,150,10,10,10,10,10,10,10
Mobily,Other,Others,Nationals,Male,35,Prepaid,LV,5,5,150,10,10,10,10,9,10,10
Mobily,Other,Others,Expat Arabs,Male,30,Prepaid,VLV,4,3,75,10,8,10,10,10,10,9
Mobily,AR RIYADH,Central,Nationals,Female,22,Prepaid,VLV,4,3,75,8,7,8,8,8,9,7
Mobily,JEDDAH,Western,Expat Asians,Male,30,Prepaid,VLV,4,3,75,,,10,,10,10,10
Mobily,AR RIYADH,Central,Expat Arabs,Male,35,Postpaid,VHV,4,4,100,5,7,8,8,6,8,8
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Expat Arabs,Male,53,Prepaid,LV,3,3,50,6,7,8,6,7,8,8
Mobily,Other,Others,Expat Arabs,Male,48,Postpaid,HV,3,3,50,7,6,7,7,6,8,7
Mobily,AT TAIF,Western,Nationals,Male,40,Postpaid,VHV,4,4,100,10,10,10,10,8,10,10
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Expat Arabs,Male,27,Prepaid,VLV,3,5,100,10,5,10,8,8,10,10
Mobily,TABUK,Northern,Expat Arabs,Male,28,Prepaid,VLV,5,3,100,10,10,10,10,10,10,10
Mobily,JEDDAH,Western,Nationals,Male,29,Prepaid,VLV,3,3,50,7,9,9,7,5,9,6
Mobily,AR RIYADH,Central,Expat Arabs,Male,32,Postpaid,VLV,5,5,150,10,8,8,10,10,10,10
Mobily,TABUK,Northern,Expat Arabs,Male,32,Prepaid,VLV,4,3,75,9,9,9,8,9,9,9
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,50,Prepaid,VLV,2,2,0,0,10,10,10,5,10,10
Mobily,AT TAIF,Western,Nationals,Male,55,Prepaid,VLV,5,5,150,10,10,10,10,10,10,10
Mobily,Other,Others,Nationals,Male,36,Prepaid,VLV,3,3,50,8,10,6,7,4,5,8
Mobily,AR RIYADH,Central,Nationals,Male,27,Postpaid,VLV,4,4,100,7,10,9,10,10,10,8
Mobily,AL KHUBAR,Eastern,Nationals,Male,22,Postpaid,VLV,3,3,50,6,9,6,10,6,8,8
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Male,28,Postpaid,VLV,5,4,125,10,10,10,10,10,10,10
Mobily,JEDDAH,Western,Expat Arabs,Male,31,Postpaid,VHV,5,4,125,9,9,9,10,10,10,10
Mobily,AR RIYADH,Central,Expat Arabs,Male,27,Prepaid,VHV,5,5,150,10,10,10,10,10,5,5
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,22,Prepaid,VLV,3,4,75,10,10,10,8,8,10,6
Mobily,AT TAIF,Western,Nationals,Male,23,Prepaid,VLV,2,2,0,0,0,0,0,0,3,8
Mobily,JEDDAH,Western,Expat Arabs,Male,27,Postpaid,VLV,5,5,150,5,9,8,10,8,10,7
Mobily,AD DAMMAM,Eastern,Nationals,Male,35,Postpaid,VHV,2,2,0,7,7,9,8,5,8,7
Mobily,AR RIYADH,Central,Nationals,Male,35,Prepaid,VLV,3,2,25,0,0,10,10,0,0,0
Mobily,AR RIYADH,Central,Expat Arabs,Female,27,Postpaid,LV,4,4,100,5,8,10,10,9,10,10
Mobily,AL JUBAIL,Eastern,Nationals,Male,30,Postpaid,VHV,3,3,50,9,10,7,6,7,10,7
Mobily,JIZAN,South,Expat Arabs,Male,32,Postpaid,MV,3,4,75,8,9,7,7,5,6,6
Mobily,JEDDAH,Western,Nationals,Male,26,Prepaid,LV,4,3,75,8,10,10,10,7,10,10
Mobily,AR RIYADH,Central,Expat Asians,Male,28,Prepaid,VLV,3,3,50,7,7,7,7,7,6,7
Mobily,Other,Others,Nationals,Male,42,Postpaid,HV,3,2,25,5,10,10,10,0,10,0
Mobily,TABUK,Northern,Nationals,Male,20,Prepaid,VLV,5,5,150,10,10,10,10,10,10,10
Mobily,AR RIYADH,Central,Nationals,Male,22,Postpaid,VHV,4,5,125,8,7,9,9,8,10,9
Mobily,JIZAN,South,Nationals,Male,30,Prepaid,VLV,4,3,75,8,6,6,8,8,8,8
Mobily,Other,Others,Nationals,Male,45,Prepaid,VLV,5,5,150,10,10,10,10,10,,
Mobily,JEDDAH,Western,Nationals,Male,40,Postpaid,LV,5,5,150,10,10,10,10,10,10,10
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Female,20,Postpaid,LV,5,4,125,10,6,7,10,7,10,7
Mobily,JEDDAH,Western,Nationals,Male,53,Prepaid,MV,5,5,150,10,10,10,10,10,10,10
Mobily,Other,Others,Nationals,Male,16,Postpaid,VLV,5,1,50,9,9,10,10,7,10,10
Mobily,AL QATIF,Eastern,Nationals,Male,39,Postpaid,LV,2,3,25,5,10,10,8,10,9,9
Mobily,JEDDAH,Western,Nationals,Male,41,Postpaid,VHV,1,1,-50,8,7,8,6,4,9,9
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Male,65,Prepaid,LV,5,5,150,8,10,10,10,10,10,10
Mobily,BURAYDAH,Central,Nationals,Male,33,Postpaid,LV,5,5,150,9,10,10,10,10,10,10
Mobily,JEDDAH,Western,Nationals,Male,39,Postpaid,VHV,3,2,25,2,0,0,0,5,5,8
Mobily,AD DAMMAM,Eastern,Nationals,Male,46,Postpaid,HV,5,5,150,10,10,10,10,10,10,10
Mobily,Other,Others,Nationals,Male,45,Postpaid,VHV,3,4,75,10,10,10,10,8,10,10
Lebara,JEDDAH,Western,Expat Arabs,Male,27,Prepaid,HV,1,2,-25,8,8,5,10,10,8,1
Friendi,AR RIYADH,Central,Expat Arabs,Male,40,Postpaid,LV,5,5,150,10,1,1,1,1,1,1
STC,Other,Others,Expat Arabs,Male,41,Prepaid,VHV,2,5,75,10,9,10,10,10,10,10
STC,AD DAMMAM,Eastern,Nationals,Male,27,Postpaid,HV,2,2,0,5,6,7,7,4,4,6
STC,AR RIYADH,Central,Nationals,Male,30,Prepaid,MV,4,2,50,7,5,6,10,6,6,3
STC,MAKKAH AL MUKARRAMAH,Western,Nationals,Male,40,Postpaid,HV,4,3,75,10,3,8,8,8,10,8
STC,AR RIYADH,Central,Expat Arabs,Male,49,Postpaid,VHV,4,4,100,10,10,10,10,10,9,10
STC,AR RIYADH,Central,Nationals,Female,55,Prepaid,LV,5,5,150,,4,1,0,9,7,9
STC,HAIL,Northern,Nationals,Male,39,Prepaid,VHV,5,5,150,10,10,10,10,7,10,10
STC,AR RIYADH,Central,Nationals,Female,28,Prepaid,LV,1,1,-50,10,0,5,,5,0,0
STC,AT TAIF,Western,Nationals,Male,40,Postpaid,HV,5,5,150,10,10,10,10,10,10,10
STC,TABUK,Northern,Expat Arabs,Male,24,Prepaid,VHV,3,2,25,10,0,8,10,10,10,10
STC,ABHA,South,Nationals,Male,36,Postpaid,HV,2,3,25,5,1,10,5,2,10,5
STC,Other,Others,Nationals,Male,40,Prepaid,VLV,3,5,100,8,10,8,5,9,8,8
STC,AR RIYADH,Central,Nationals,Male,45,Postpaid,MV,5,5,150,9,9,10,10,10,10,10
STC,MAKKAH AL MUKARRAMAH,Western,Nationals,Male,50,Prepaid,LV,5,3,100,10,10,10,10,8,10,
STC,AT TAIF,Western,Expat Arabs,Male,35,Prepaid,VHV,5,5,150,10,10,10,10,10,10,10
STC,AD DAMMAM,Eastern,Expat Arabs,Male,25,Prepaid,LV,5,5,150,10,10,10,10,10,10,10
STC,KHAMIS MUSHAYT,South,Nationals,Male,25,Prepaid,LV,5,5,150,10,10,10,10,10,10,10
STC,HAIL,Northern,Nationals,Male,55,Postpaid,HV,4,5,125,10,7,10,10,10,10,10
STC,AR RIYADH,Central,Expat Arabs,Male,35,Prepaid,MV,4,5,125,9,8,8,10,8,10,10
STC,BURAYDAH,Central,Nationals,Male,35,Postpaid,HV,3,3,50,6,3,8,8,7,9,7
STC,JEDDAH,Western,Nationals,Male,40,Postpaid,VHV,4,,50,8,8,9,9,8,10,7
STC,AR RIYADH,Central,Nationals,Male,50,Postpaid,VHV,3,2,25,3,3,2,1,2,10,3
STC,JEDDAH,Western,Expat Asians,Male,35,Prepaid,VLV,4,4,100,,,8,7,10,9,10
STC,JEDDAH,Western,Nationals,Male,28,Postpaid,MV,4,4,100,10,10,10,10,10,10,10
STC,Other,Others,Nationals,Male,50,Prepaid,LV,5,5,150,3,5,10,10,5,10,10
STC,AR RIYADH,Central,Nationals,Male,40,Postpaid,HV,3,3,50,8,9,9,7,8,8,7
STC,Other,Others,Nationals,Male,35,Prepaid,MV,5,5,150,10,10,10,10,10,10,10
STC,NAJRAN,South,Nationals,Male,31,Postpaid,VHV,5,4,125,10,10,10,10,10,10,10
STC,AR RIYADH,Central,Nationals,Male,23,Prepaid,VLV,4,4,100,8,4,7,8,10,8,8
STC,JEDDAH,Western,Nationals,Male,40,Prepaid,LV,4,4,100,8,8,8,8,8,8,8
STC,AR RIYADH,Central,Nationals,Male,58,Prepaid,LV,4,4,100,,7,7,8,5,7,7
STC,Other,Others,Nationals,Male,31,Prepaid,VLV,4,4,100,10,10,10,10,10,10,10
STC,AR RIYADH,Central,Nationals,Male,39,Postpaid,LV,3,1,0,4,4,0,3,3,8,2
STC,BURAYDAH,Central,Nationals,Female,26,Postpaid,MV,4,5,125,10,10,10,10,9,10,10
STC,AR RIYADH,Central,Nationals,Male,43,Postpaid,VHV,3,4,75,5,4,3,5,6,6,0
STC,HAIL,Northern,Nationals,Male,60,Prepaid,LV,5,5,150,,10,10,10,10,10,10
STC,AR RIYADH,Central,Nationals,Male,45,Postpaid,HV,5,5,150,7,6,8,6,9,7,8
STC,Other,Others,Nationals,Male,30,Prepaid,LV,3,3,50,5,2,4,3,3,5,6
STC,HAIL,Northern,Nationals,Male,44,Prepaid,MV,3,3,50,,5,8,10,5,8,5
STC,ABHA,South,Nationals,Male,40,Postpaid,HV,4,4,100,8,6,7,7,7,8,7
STC,AR RIYADH,Central,Nationals,Male,45,Postpaid,VHV,4,5,125,10,10,10,10,10,10,10
STC,AR RIYADH,Central,Nationals,Male,45,Postpaid,VHV,5,5,150,10,5,10,5,10,10,5
STC,AR RIYADH,Central,Nationals,Male,33,Postpaid,HV,5,5,150,5,4,10,10,10,10,10
STC,AR RIYADH,Central,Nationals,Male,50,Postpaid,VHV,4,4,100,9,9,9,9,9,9,10
STC,JEDDAH,Western,Nationals,Male,35,Prepaid,LV,4,3,75,4,7,10,10,6,10,5
STC,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,58,Postpaid,VHV,5,5,150,10,9,9,10,10,10,10
STC,AR RIYADH,Central,Nationals,Male,42,Postpaid,MV,3,2,25,5,1,5,3,6,2,4
STC,AR RIYADH,Central,Nationals,Female,52,Prepaid,VLV,5,5,150,10,10,10,10,10,10,10
STC,Other,Others,Nationals,Male,35,Prepaid,LV,1,3,0,2,7,9,8,6,10,8
STC,AR RIYADH,Central,Nationals,Male,50,Postpaid,HV,3,3,50,5,3,3,4,5,3,3
STC,Other,Others,Nationals,Male,38,Prepaid,LV,3,3,50,3,3,1,4,2,1,0
STC,AR RIYADH,Central,Nationals,Male,36,Prepaid,LV,5,5,150,7,7,10,7,10,10,10
Zain,AL KHUBAR,Eastern,Expat Arabs,Male,32,Postpaid,VHV,4,4,100,,10,10,8,7,10,7
Zain,JEDDAH,Western,Expat Arabs,Male,42,Prepaid,LV,3,2,25,10,0,8,8,0,10,0
Zain,BURAYDAH,Central,Nationals,Male,30,Postpaid,LV,5,5,150,9,10,10,10,10,10,9
Zain,HAIL,Northern,Nationals,Male,40,Postpaid,HV,2,3,25,8,8,8,8,6,9,8
Zain,AR RIYADH,Central,Expat Arabs,Male,25,Prepaid,VLV,4,1,25,10,10,10,10,10,10,8
Zain,MAKKAH AL MUKARRAMAH,Western,Expat Asians,Male,31,Prepaid,LV,4,4,100,10,10,10,10,10,9,10
Zain,TABUK,Northern,Nationals,Female,27,Postpaid,MV,3,3,50,9,10,10,10,5,10,10
Zain,AL JUBAIL,Eastern,Expat Asians,Male,37,Prepaid,MV,3,3,50,10,7,10,,7,0,10
Zain,Other,Others,Nationals,Male,24,Postpaid,LV,5,5,150,10,10,10,10,10,10,10
Zain,AR RIYADH,Central,Expat Arabs,Male,58,Prepaid,LV,3,3,50,8,10,10,10,8,10,8
Zain,JEDDAH,Western,Expat Arabs,Male,40,Prepaid,MV,4,3,75,5,8,8,8,8,8,6
Zain,AR RIYADH,Central,Expat Arabs,Male,50,Postpaid,VLV,4,4,100,8,10,10,10,8,10,9
Zain,AR RIYADH,Central,Expat Asians,Male,25,Prepaid,HV,1,1,-50,0,0,1,1,0,0,0
Zain,AD DAMMAM,Eastern,Expat Arabs,Male,30,Postpaid,VLV,4,1,25,8,8,10,10,8,10,10
Mobily,JEDDAH,Western,Nationals,Male,24,Prepaid,VLV,5,4,125,10,10,10,10,10,10,10
Mobily,MAKKAH AL MUKARRAMAH,Western,Expat Arabs,Male,27,Prepaid,VLV,5,5,150,,10,10,10,10,10,10
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Expat Arabs,Male,33,Prepaid,MV,4,4,100,10,8,9,10,9,10,10
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,23,Postpaid,VLV,4,1,25,6,4,6,4,6,8,4
Mobily,AR RIYADH,Central,Nationals,Male,22,Postpaid,MV,5,5,150,10,10,10,10,10,10,10
Mobily,JEDDAH,Western,Expat Arabs,Male,50,Prepaid,LV,5,4,125,9,9,9,10,9,9,9
Mobily,AD DAMMAM,Eastern,Expat Arabs,Male,35,Postpaid,MV,5,4,125,10,9,10,10,9,10,10
Mobily,JEDDAH,Western,Nationals,Male,51,Prepaid,VLV,5,5,150,10,10,10,10,10,10,10
Mobily,AD DAMMAM,Eastern,Nationals,Female,40,Prepaid,LV,4,4,100,10,8,9,8,10,10,10
Mobily,BURAYDAH,Central,Nationals,Male,27,Prepaid,VLV,3,2,25,4,6,5,5,5,10,3
Mobily,JEDDAH,Western,Nationals,Female,29,Postpaid,HV,4,4,100,10,8,9,10,10,8,9
Mobily,AL KHUBAR,Eastern,Nationals,Male,39,Postpaid,MV,4,5,125,10,10,10,10,10,10,10
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Expat Arabs,Male,46,Postpaid,MV,5,5,150,10,10,10,10,10,10,10
Mobily,JEDDAH,Western,Nationals,Male,31,Postpaid,LV,5,5,150,9,10,10,10,9,10,10
Mobily,Other,Others,Nationals,Male,36,Postpaid,LV,4,4,100,3,8,2,8,10,10,10
Mobily,JEDDAH,Western,Nationals,Male,33,Postpaid,LV,5,5,150,10,10,10,10,10,10,10
Mobily,JEDDAH,Western,Expat Arabs,Male,27,Postpaid,HV,3,5,100,7,4,5,3,0,2,3
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,29,Prepaid,VHV,5,5,150,1,10,10,10,10,10,10
Mobily,BURAYDAH,Central,Expat Asians,Male,31,Prepaid,VLV,4,4,100,7,6,9,10,6,0,8
Mobily,JEDDAH,Western,Nationals,Female,22,Prepaid,VLV,5,3,100,8,7,8,9,8,7,8
Mobily,MAKKAH AL MUKARRAMAH,Western,Expat Arabs,Female,40,Prepaid,LV,5,5,150,6,10,10,10,10,10,10
Mobily,Other,Others,Nationals,Female,20,Postpaid,VLV,5,3,100,10,9,9,10,10,10,10
Mobily,AT TAIF,Western,Nationals,Male,64,Postpaid,VHV,5,5,150,9,9,10,9,8,10,9
Mobily,JEDDAH,Western,Nationals,Male,41,Postpaid,HV,2,1,-25,,0,9,0,8,10,6
Mobily,JEDDAH,Western,Expat Arabs,Male,32,Prepaid,LV,5,4,125,8,5,10,9,10,8,8
Mobily,JEDDAH,Western,Nationals,Male,30,Postpaid,VHV,5,4,125,8,10,10,10,10,10,10
Mobily,JEDDAH,Western,Nationals,Male,35,Postpaid,HV,4,4,100,10,10,10,10,9,10,10
Mobily,JIZAN,South,Nationals,Male,30,Postpaid,VHV,1,1,-50,0,6,6,0,0,6,0
Mobily,AR RIYADH,Central,Expat Arabs,Male,44,Prepaid,VLV,5,5,150,10,10,10,10,10,10,10
Mobily,AR RIYADH,Central,Nationals,Male,26,Postpaid,LV,4,3,75,7,8,8,5,7,8,5
Mobily,AL HUFUF,Eastern,Nationals,Male,35,Postpaid,VHV,4,4,100,9,9,10,9,9,9,9
Mobily,AL BAHA,South,Expat Arabs,Male,40,Prepaid,VLV,5,5,150,10,10,10,10,10,10,8
Mobily,YANBU AN NAKHL,Northern,Nationals,Male,46,Postpaid,HV,3,3,50,7,,8,8,8,10,9
Mobily,AR RIYADH,Central,Expat Arabs,Male,32,Postpaid,MV,4,4,100,10,10,10,10,8,7,8
Mobily,Other,Others,Nationals,Male,40,Prepaid,VLV,4,3,75,10,8,10,7,7,9,6
Mobily,Other,Others,Nationals,Male,24,Prepaid,VLV,5,5,150,10,10,10,10,10,10,10
Mobily,BURAYDAH,Central,Nationals,Male,22,Prepaid,VLV,5,5,150,,10,10,10,10,10,10
Mobily,Other,Others,Nationals,Male,50,Postpaid,LV,3,3,50,8,7,8,8,8,0,7
Mobily,KHAMIS MUSHAYT,South,Nationals,Male,43,Postpaid,VHV,4,2,50,10,7,7,8,7,9,9
Mobily,AD DAMMAM,Eastern,Expat Arabs,Male,43,Prepaid,VLV,4,2,50,8,7,8,9,10,7,7
Mobily,AR RIYADH,Central,Nationals,Male,38,Postpaid,VHV,3,3,50,7,7,8,7,4,8,10
Mobily,AL KHUBAR,Eastern,Expat Arabs,Male,42,Postpaid,VHV,3,3,50,7,5,8,7,7,8,5
Mobily,AR RIYADH,Central,Nationals,Male,25,Postpaid,HV,3,1,0,0,2,0,5,2,10,10
Mobily,JEDDAH,Western,Nationals,Male,26,Postpaid,LV,5,5,150,10,10,10,10,7,10,10
Mobily,AR RIYADH,Central,Nationals,Male,27,Prepaid,LV,3,4,75,8,9,9,9,9,9,8
Mobily,Other,Others,Nationals,Male,60,Prepaid,VLV,5,4,125,10,7,10,10,10,10,10
Mobily,JEDDAH,Western,Expat Arabs,Male,35,Postpaid,MV,4,4,100,,10,10,7,7,10,7
Mobily,NAJRAN,South,Nationals,Female,30,Prepaid,VLV,4,4,100,6,8,8,8,8,8,7
Mobily,JEDDAH,Western,Nationals,Male,20,Postpaid,VLV,4,1,25,8,9,10,9,10,10,8
Mobily,AR RIYADH,Central,Nationals,Male,36,Postpaid,VLV,3,3,50,0,4,5,4,2,5,2
Mobily,TABUK,Northern,Nationals,Male,30,Postpaid,VHV,2,2,0,3,3,10,10,2,8,5
Mobily,Other,Others,Nationals,Male,25,Prepaid,LV,5,4,125,10,10,10,10,10,10,10
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Female,47,Postpaid,HV,3,3,50,6,8,7,9,7,6,6
Mobily,AR RIYADH,Central,Nationals,Male,24,Postpaid,VHV,3,3,50,6,8,10,7,9,9,7
Mobily,AL BAHA,South,Nationals,Male,30,Postpaid,VLV,4,3,75,8,10,10,9,10,10,8
Mobily,JEDDAH,Western,Nationals,Female,48,Postpaid,VLV,5,5,150,10,10,10,10,10,10,10
Mobily,AD DAMMAM,Eastern,Nationals,Male,34,Postpaid,VHV,4,4,100,3,9,10,7,9,9,9
Mobily,AR RIYADH,Central,Nationals,Male,33,Postpaid,VHV,5,4,125,10,10,10,10,10,0,10
Mobily,AR RIYADH,Central,Nationals,Female,42,Postpaid,MV,5,3,100,10,10,10,10,8,10,10
Mobily,AR RIYADH,Central,Nationals,Female,23,Prepaid,VLV,4,2,50,6,7,6,7,7,8,6
Mobily,JEDDAH,Western,Nationals,Male,22,Postpaid,VHV,5,3,100,,7,9,8,9,10,8
Mobily,AR RIYADH,Central,Nationals,Male,43,Postpaid,VHV,5,4,125,10,10,10,10,9,10,10
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Male,21,Postpaid,HV,5,5,150,7,7,7,10,7,4,10
Mobily,AR RIYADH,Central,Nationals,Male,38,Postpaid,MV,4,3,75,10,10,10,10,10,10,10
Mobily,JEDDAH,Western,Expat Asians,Male,28,Prepaid,VLV,3,2,25,0,0,10,0,5,10,10
STC,AT TAIF,Western,Expat Arabs,Male,30,Prepaid,VLV,5,5,150,10,10,10,10,10,10,10
STC,JEDDAH,Western,Nationals,Female,22,Postpaid,LV,3,2,25,0,7,5,8,3,2,1
